Glareola_pratincola,7950,7924,26,146,242
Phaetusa_simplex,7765,7742,23,199,374
Rynchops_niger,8035,8012,23,110,193
Stercorarius_parasiticus,8054,8040,14,89,195
Bartramia_longicauda,7851,7845,6,243,244
Calidris_pugnax,8258,8191,67,25,55
Calidris_pygmaea,8267,8247,20,28,43
Tringa_solitaria,8223,8220,3,56,59
Xenus_cinereus,8026,8018,8,185,127
Gallinago_delicata,8125,8118,7,88,125
Gallinago_gallinago,8114,8110,4,93,131
Gallinago_paraguaiae,8230,8223,7,40,68
Gallinago_nigripennis,8231,8223,8,44,63
Gallinago_hardwickii,8230,8226,4,49,59
Gallinago_megala,8165,8160,5,74,99
Gallinago_stenura,7987,7978,9,196,155
Gallinago_solitaria,8202,8199,3,72,64
Gallinago_jamesoni,8253,8248,5,33,52
Gallinago_undulata,8243,8237,6,41,54
Scolopax_bukidnonensis,8230,8219,11,42,66
Scolopax_rusticola,7972,7962,10,220,146
Limnodromus_scolopaceus,8244,8237,7,39,55
Nycticryphes_semicollaris,8030,8005,25,91,217
Thinocorus_orbignyianus,8025,8012,13,90,223
Rostratula_benghalensis,8229,8219,10,31,78
Burhinus_bistriatus,7989,7964,25,139,210
Chionis_minor,8050,8032,18,81,207
Himantopus_himantopus,8056,8036,20,89,193
Ibidorhyncha_struthersii,8064,8041,23,87,187
Burhinus_oedicnemus,7684,7652,32,146,508
Charadrius_alexandrinus,8240,8230,10,45,53
Charadrius_vociferus,8261,8237,24,27,50
Pluvialis_apricaria,8281,8243,38,13,44
Podilymbus_podiceps,8008,7992,16,83,247
Anhinga_anhinga,7980,7933,47,129,229
Mesembrinibis_cayennensis,7962,7944,18,138,238
Oceanites_oceanicus,7961,7945,16,145,232
Oceanodroma_tethys,7936,7920,16,162,240
Pelecanoides_urinatrix,7846,7818,28,235,257
Butorides_virescens,7951,7882,69,182,205
Aptenodytes_forsteri,8277,8270,7,18,43
Aptenodytes_patagonicus,8120,8085,35,107,111
Eudyptes_chrysocome,8238,8220,18,40,60
Eudyptes_filholi,8258,8246,12,25,55
Eudyptes_moseleyi,8255,8232,23,30,53
Eudyptes_pachyrhynchus,8283,7888,395,19,36
Eudyptes_sclateri,8252,8236,16,33,53
Eudyptes_chrysolophus,8205,7641,564,67,66
Eudyptes_schlegeli,8244,8187,57,36,58
Megadyptes_antipodes_antipodes,8178,8133,45,78,82
Eudyptula_albosignata,8174,7648,526,73,91
Eudyptula_minor,8184,7523,661,74,80
Eudyptula_novaehollandiae,8223,7921,302,46,69
Spheniscus_demersus,8147,8132,15,97,94
Spheniscus_humboldti,8291,8230,61,9,38
Spheniscus_magellanicus,8278,8221,57,20,40
Pygoscelis_antarcticus,8161,8105,56,91,86
Pygoscelis_papua,8169,8142,27,84,85
Eudyptes_robustus,7886,7830,56,212,240
Oceanodroma_leucorhoa,8279,8268,11,12,47
Puffinus_mauretanicus,8214,8202,12,47,77
Ciconia_abdimii,8195,8192,3,75,68
Ciconia_episcopus,8231,8230,1,47,60
Ciconia_stormi,8143,8138,5,114,81
Ciconia_boyciana,8267,8248,19,29,42
Ciconia_ciconia,8258,8197,61,29,51
Ciconia_maguari,8276,8261,15,12,50
Ciconia_nigra,8225,8223,2,52,61
Cochlearius_cochlearius,8253,8248,5,24,61
Egretta_garzetta,8257,8251,6,31,50
Gorsachius_magnificus,8277,8272,5,14,47
Nipponia_nippon,8257,8232,25,28,53
Threskiornis_aethiopicus,7867,7861,6,62,409
Theristicus_caerulescens,8275,8263,12,14,49
Morus_bassanus,8280,8256,24,12,46
Phalacrocorax_aristotelis,8263,8228,35,9,66
Phalacrocorax_pelagicus,8252,8246,6,41,45
Phalacrocorax_auritus,8254,8177,77,36,48
Phalacrocorax_harrisi,8278,8270,8,17,43
Gavia_stellata,8294,8274,20,8,36
Phoenicopterus_ruber_ruber,8276,8231,45,11,51
Corythaixoides_concolor,8201,8187,14,60,77
Rhynochetos_jubatus,8267,8237,30,14,57
Aramus_guarauna,8050,8032,18,91,197
Psophia_crepitans,8010,8001,9,108,220
Balearica_regulorum,8057,8055,2,165,116
Grus_americana,8295,8242,53,11,32
Grus_nigricollis,8261,8235,26,13,64
Fulica_atra,8042,7991,51,134,162
Laterallus_jamaicensis_coturniculus,8252,8236,16,18,68
Porphyrio_hochstetteri,8238,8208,30,15,85
Hypotaenidia_okinawae,8275,8257,18,11,52
Rallus_crepitans,7853,7806,47,197,288
Rallus_limicola,8263,8247,16,12,63
Heliornis_fulica,7871,7850,21,169,298
Ardeotis_kori,8001,7980,21,111,226
Tetrax_tetrax,7883,7865,18,178,277
Chlamydotis_undulata_undulata,8118,8112,6,126,94
Otis_tarda,8290,8279,11,9,39
Lophotis_ruficrista,8207,8198,9,48,83
Caprimulgus_europaeus,8275,8240,35,14,49
Chordeiles_acutipennis,7965,7950,15,121,252
Nyctibius_bracteatus,7895,7874,21,170,273
Nyctibius_grandis,8274,8225,49,14,50
Steatornis_caripensis,7919,7880,39,169,250
Acridotheres_javanicus,8189,8169,20,44,105
Acridotheres_tristis,8273,8244,29,11,54
